GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS320073217	2021-04-01 07:54:54.86132	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Manistee	US-MI-101	US-MI_1592	12			Arcadia Beach Natural Area	L1103805	H	44.4941176	-86.2416646	2015-05-16	08:00:00	obsr102121	S23467857	Traveling	P22	EBIRD	40	1.609		1	1		0	1	0		<br />Submitted from BirdLog NA for iOS, version 1.8		
URN:CornellLabOfOrnithology:EBIRD:OBS322809877	2015-05-25 12:48:31	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Manistee	US-MI-101		12			Chamberlin Rd, west	L3630058	P	44.4788706	-86.2413454	2015-05-25	11:30:00	obsr287179	S23627832	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS321929336	2018-08-06 20:08:09	33215	species	Canada Warbler	Cardellina canadensis			2					United States	US	Michigan	US-MI	Manistee	US-MI-101		12			Arcadia Lakeshore/Chamberlain Rd.	L1000690	H	44.4778907	-86.2467957	2015-05-22	10:28:00	obsr102121	S23575840	Traveling	P22	EBIRD	30	1.609		1	1		0	1	0		<br />Submitted from BirdLog NA for iOS, version 1.8		
URN:CornellLabOfOrnithology:EBIRD:OBS317863666	2018-08-06 20:07:29	33215	species	Canada Warbler	Cardellina canadensis			2					United States	US	Michigan	US-MI	Manistee	US-MI-101	US-MI_3890	12			Upper River Road	L1902098	P	44.3092599	-85.8613628	2015-05-09	08:45:00	obsr280244	S23343736	Traveling	P22	EBIRD	260	17.703		1	1		0	1	1			This small creek and ravine, with its shady thickets, is a reliable spot to see this species.	
URN:CornellLabOfOrnithology:EBIRD:OBS324762199	2018-08-06 20:08:37	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Manistee	US-MI-101		12			5539 Bar Lake Rd.	L306691	P	44.3236540	-86.2626100	2015-06-03	06:45:00	obsr102121	S23758926	Traveling	P22	EBIRD	15	0.805		1	1		0	1	0			singing	
URN:CornellLabOfOrnithology:EBIRD:OBS341352731	2021-04-01 07:54:54.86132	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Manistee	US-MI-101		23			Manistee Riverwalk	L1991232	H	44.2472588	-86.3322186	2015-09-09	12:10:00	obsr102121	S24960071	Traveling	P22	EBIRD	45	1.609		1	1		0	1	0		<br />Submitted from BirdLog NA for iOS, version 1.8	HY female	
URN:CornellLabOfOrnithology:EBIRD:OBS402555438	2018-08-06 20:10:50	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Manistee	US-MI-101	US-MI_3890	12			Upper River Road	L1902098	P	44.3092599	-85.8613628	2016-05-14	07:00:00	obsr280244	S29642340	Traveling	P22	EBIRD	210	28.968		1	1		0	1	0		Quiet the first two hours, then periods of blowing snow.		
URN:CornellLabOfOrnithology:EBIRD:OBS404736843	2016-05-18 19:56:00	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Manistee	US-MI-101		12			Old Stronach Road, River Crossing	L1902105	P	44.2104254	-86.2447230	2016-05-18	09:15:00	obsr280244	S29763624	Stationary	P21	EBIRD	30			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS401234139	2021-03-30 17:45:28.553673	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Manistee	US-MI-101		12			Arcadia Marsh	L771843	H	44.4888979	-86.2285888	2016-05-11	16:19:00	obsr751325	S29569635	Traveling	P22	EBIRD	50	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS412679143	2018-08-06 20:11:57	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Manistee	US-MI-101	US-MI_3890	12			Upper river road	L4710707	P	44.2884844	-85.8714795	2016-06-18	06:41:00	obsr343560	S30280467	Traveling	P22	EBIRD	195	16.898		1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS506305949	2018-08-06 20:14:55	33215	species	Canada Warbler	Cardellina canadensis			2					United States	US	Michigan	US-MI	Manistee	US-MI-101		12			5539 Bar Lake Rd.	L306691	P	44.3236540	-86.2626100	2017-05-30	06:45:00	obsr102121	S37259924	Traveling	P22	EBIRD	20	0.805		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS508633014	2017-06-06 09:54:31	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Manistee	US-MI-101		12			Manistee Co. Steinberg Rd bridge	L4673903	P	44.2253460	-86.0258990	2017-06-03	09:35:00	obsr102121	S37421390	Stationary	P21	EBIRD	3			1	1		0	1	0		Part of BBS stop 46		
URN:CornellLabOfOrnithology:EBIRD:OBS619888737	2018-08-06 20:23:12	33215	species	Canada Warbler	Cardellina canadensis			2					United States	US	Michigan	US-MI	Manistee	US-MI-101		12			N Claybank Rd over creek	L2201193	P	44.2515737	-86.2015200	2018-05-18	10:00:00	obsr279819	S45795171	Stationary	P21	EBIRD	20			2	1		0	1	0		Linda S, sunny,wind E15	2 males fighting	
URN:CornellLabOfOrnithology:EBIRD:OBS622328783	2018-08-06 20:23:44	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Manistee	US-MI-101		12			332 Dunes Dr, Manistee US-MI (44.2635,-86.3259)	L7387987	P	44.2634920	-86.3258520	2018-05-22	10:49:00	obsr458041	S45939592	Traveling	P22	EBIRD	10	0.161		1	1		0	1	0		Cloudy 55F		
URN:CornellLabOfOrnithology:EBIRD:OBS629904826	2021-03-19 09:15:48.328331	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Manistee	US-MI-101	US-MI_3890	12			Manistee NF--Upper River Rd.	L2265764	H	44.2794612	-85.8766064	2018-06-10	08:00:00	obsr112060	S46460892	Traveling	P22	EBIRD	300	8.047		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS767744521	2019-06-01 15:19:59	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Manistee	US-MI-101	US-MI_3890	12			Upper River Road	L1902098	P	44.3092599	-85.8613628	2019-05-28	11:30:00	obsr280244	S56843455	Traveling	P22	EBIRD	165	11.265		2	1		0	1	0		Overcast, occasional mist.		
