GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS325416226	2016-10-21 15:16:42	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Barry	US-MI-015	US-MI_3579	23			Otis Sanctuary	L492835	H	42.6020306	-85.3864610	2015-06-06	13:00:00	obsr359041	S23804052	Traveling	P22	EBIRD	150	1.609		1	1		0	1	0		Cerulean Festival		
URN:CornellLabOfOrnithology:EBIRD:OBS325736515	2021-03-24 15:28:30.175918	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Barry	US-MI-015	US-MI_3579	23			Otis Sanctuary	L492835	H	42.6020306	-85.3864610	2015-06-05	11:30:00	obsr221939	S23791907	Traveling	P22	EBIRD	540	2.300		1	1		0	1	0			Heard Only	
URN:CornellLabOfOrnithology:EBIRD:OBS327596895	2015-06-18 12:52:50	32181	species	Henslow's Sparrow	Centronyx henslowii			2					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site G30	L3732681	P	42.5339843	-85.2696526	2015-06-18	06:24:00	obsr622633	S23960894	Stationary	P21	EBIRD	15			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS324815551	2015-06-03 14:28:01	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site F9	L3694179	P	42.5350677	-85.2817995	2015-06-03	06:31:00	obsr622633	S23762572	Stationary	P21	EBIRD	15			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS325429807	2021-03-26 02:52:42.934784	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Barry	US-MI-015	US-MI_3579	23			Otis Sanctuary	L492835	H	42.6020306	-85.3864610	2015-06-06	08:25:00	obsr263601	S23804933	Traveling	P22	EBIRD	18	0.161		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS327402527	2015-06-17 13:06:54	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site F24	L3728590	P	42.5323306	-85.2794393	2015-06-17	05:55:00	obsr622633	S23944836	Stationary	P21	EBIRD	15			3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS325173836	2015-06-05 14:00:52	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site G7	L3698554	P	42.5359130	-85.2781232	2015-06-04	08:57:00	obsr622633	S23788558	Stationary	P21	EBIRD	15			3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS327597264	2015-06-18 12:55:28	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site G24	L3732691	P	42.5340944	-85.2769556	2015-06-18	09:29:00	obsr622633	S23960918	Stationary	P21	EBIRD	15			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS327216413	2015-06-16 14:00:59	32181	species	Henslow's Sparrow	Centronyx henslowii			2					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site G26	L3726186	P	42.5340577	-85.2745212	2015-06-16	06:03:00	obsr622633	S23931216	Stationary	P21	EBIRD	15			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS327596697	2015-06-18 12:51:50	32181	species	Henslow's Sparrow	Centronyx henslowii			2					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site G37	L3732678	P	42.5331025	-85.2708946	2015-06-18	06:44:00	obsr622633	S23960884	Stationary	P21	EBIRD	15			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS328836820	2015-06-25 18:00:10	32181	species	Henslow's Sparrow	Centronyx henslowii			2	S 	C2	S 		United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site F8	L3750327	P	42.5350859	-85.2830167	2015-06-24	05:55:00	obsr622633	S24051794	Stationary	P21	EBIRD	15			2	1		0	1	0			Distinct "tsi-LICK" songs within a 50-meter radius	
URN:CornellLabOfOrnithology:EBIRD:OBS325173436	2015-06-05 13:57:32	32181	species	Henslow's Sparrow	Centronyx henslowii			2					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site G46	L3698547	P	42.5312838	-85.2697272	2015-06-04	06:37:00	obsr622633	S23788519	Stationary	P21	EBIRD	15			3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS328837812	2015-06-25 23:16:10	32181	species	Henslow's Sparrow	Centronyx henslowii			4	S 	C2	S 		United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site G36	L3750368	P	42.5331209	-85.2721118	2015-06-25	06:56:00	obsr622633	S24051898	Stationary	P21	EBIRD	15			2	1		0	1	1			Distinct "tsi-LICK" songs heard within 50-meter radius	
URN:CornellLabOfOrnithology:EBIRD:OBS327597173	2015-06-18 21:11:36	32181	species	Henslow's Sparrow	Centronyx henslowii			4					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site G12	L3732683	P	42.5358214	-85.2720373	2015-06-18	06:00:00	obsr622633	S23960909	Stationary	P21	EBIRD	15			2	1		0	1	1			distinct "tsi-lick" songs, singing males	
URN:CornellLabOfOrnithology:EBIRD:OBS327115901	2015-06-15 22:15:57	32181	species	Henslow's Sparrow	Centronyx henslowii			3					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site G4	L3724849	P	42.5367216	-85.2720125	2015-06-15	09:22:00	obsr622633	S23924198	Stationary	P21	EBIRD	15			2	1		0	1	1			all distinct "tsi-lick" songs, singing males	
URN:CornellLabOfOrnithology:EBIRD:OBS327114875	2018-08-06 20:08:42	32181	species	Henslow's Sparrow	Centronyx henslowii			4					United States	US	Michigan	US-MI	Barry	US-MI-015	US-MI_3579	23			Otis Sanctuary	L492835	H	42.6020306	-85.3864610	2015-06-04	16:00:00	obsr128205	S23924123	Traveling	P22	EBIRD	120	1.931		8	1		0	1	1			Four, separate singing males in field. Tiss-lick call.	
URN:CornellLabOfOrnithology:EBIRD:OBS327115635	2015-06-15 22:15:57	32181	species	Henslow's Sparrow	Centronyx henslowii			4					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site G3	L3724846	P	42.5367399	-85.2732297	2015-06-15	09:01:00	obsr622633	S23924184	Stationary	P21	EBIRD	15			2	1		0	1	1			distinct "tsi-lick" songs, all singing males	
URN:CornellLabOfOrnithology:EBIRD:OBS327216354	2015-06-17 22:06:38	32181	species	Henslow's Sparrow	Centronyx henslowii			3	S 	C2	S 		United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site G29	L3726180	P	42.5340027	-85.2708698	2015-06-16	06:25:00	obsr622633	S23931211	Stationary	P21	EBIRD	15			1	1		0	1	1			Distinct "tsi-LICK" songs	
URN:CornellLabOfOrnithology:EBIRD:OBS325174390	2015-06-06 17:12:24	32181	species	Henslow's Sparrow	Centronyx henslowii			3					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site G1	L3698557	P	42.5367766	-85.2756641	2015-06-04	07:37:00	obsr622633	S23788602	Stationary	P21	EBIRD	15			3	1		0	1	1			distinct "tsi-lick" songs	
URN:CornellLabOfOrnithology:EBIRD:OBS327216060	2015-06-17 22:06:38	32181	species	Henslow's Sparrow	Centronyx henslowii			4	S 	C2	S 		United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site G35	L3726168	P	42.5331392	-85.2733289	2015-06-16	07:18:00	obsr622633	S23931188	Stationary	P21	EBIRD	15			1	1		0	1	1			Distinct "tsi-LICK" songs	
URN:CornellLabOfOrnithology:EBIRD:OBS326309408	2015-06-12 00:08:33	32181	species	Henslow's Sparrow	Centronyx henslowii			5					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site F13	L3713778	P	42.5341858	-85.2830414	2015-06-10	10:05:00	obsr622633	S23866358	Stationary	P21	EBIRD	15			2	1		0	1	1			all distinct "tsi-lick" songs	
URN:CornellLabOfOrnithology:EBIRD:OBS327596537	2015-06-18 21:11:36	32181	species	Henslow's Sparrow	Centronyx henslowii			3					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site G41	L3732670	P	42.5322023	-85.2709195	2015-06-18	07:03:00	obsr622633	S23960871	Stationary	P21	EBIRD	15			2	1		0	1	1			distinct "tsi-lick" songs, singing males	
