GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS413653964	2021-04-01 07:52:31.80637	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Gerald R. Ford Airport (s. Kraft Ave. access)	L888511	H	42.8763415	-85.5267137	2016-06-23	08:18:00	obsr437717	S30354368	Traveling	P22	EBIRD	25	0.483		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS413883528	2021-03-26 03:04:12.593349	31855	species	Grasshopper Sparrow	Ammodramus savannarum			4					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Gerald R. Ford Airport (s. Kraft Ave. access)	L888511	H	42.8763415	-85.5267137	2016-06-24	15:00:00	obsr275735	S30373022	Stationary	P21	EBIRD	60			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS428067722	2016-09-06 11:43:37	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			PCCI 2016 GBRS K12	L4905897	P	42.8745500	-85.5210600	2016-06-03	07:11:00	obsr622633	S31450197	Stationary	P21	EBIRD	15			1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS410058438	2017-05-30 05:34:51	31855	species	Grasshopper Sparrow	Ammodramus savannarum			3					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Gerald R. Ford Airport (s. Kraft Ave. access)	L888511	H	42.8763415	-85.5267137	2016-06-03	06:00:00	obsr264117	S30093855	Traveling	P22	EBIRD	90	1.609		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS417588305	2017-05-30 05:34:51	31855	species	Grasshopper Sparrow	Ammodramus savannarum			3					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Gerald R. Ford Airport (s. Kraft Ave. access)	L888511	H	42.8763415	-85.5267137	2016-07-08		obsr264117	S30659469	Incidental	P20	EBIRD					0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS487469587	2017-08-16 19:52:28	31855	species	Grasshopper Sparrow	Ammodramus savannarum			X					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Gerald R. Ford Airport (s. Kraft Ave. access)	L888511	H	42.8763415	-85.5267137	2016-07-08	06:00:00	obsr771730	S36084908	Historical	P62	EBIRD	240	16.093		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS498784830	2021-03-26 03:04:12.593349	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Gerald R. Ford Airport (s. Kraft Ave. access)	L888511	H	42.8763415	-85.5267137	2017-05-13	16:29:00	obsr19409	S36806114	Stationary	P21	EBIRD	15			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505229281	2021-03-19 09:06:19.102151	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			US-MI-Cascade-Gerald R Ford International Airport - 42.8695x-85.5220	L4227122	P	42.8694990	-85.5220120	2017-05-27	16:34:00	obsr457643	S37188271	Stationary	P21	EBIRD	20			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS728415546	2019-03-23 23:07:14	31855	species	Grasshopper Sparrow	Ammodramus savannarum			4					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Gerald R. Ford Airport (East end of 52nd St.)	L3698042	P	42.8695166	-85.5201101	2017-06-12	06:35:00	obsr264117	S54158188	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS511214812	2018-08-05 15:39:36	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Grand Rapids, East end 52nd Street Southeast	L2517799	P	42.8695000	-85.5193900	2017-06-15	07:16:00	obsr221163	S37601090	Stationary	P21	EBIRD	31			1	1		0	1	0			Heard distantly to the east 	
URN:CornellLabOfOrnithology:EBIRD:OBS512173849	2020-04-15 13:44:45	31855	species	Grasshopper Sparrow	Ammodramus savannarum			2					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Kent/MI 60th St. Grand Rapids	L5989305	P	42.8584127	-85.5145741	2017-06-18	06:45:00	obsr926210	S37658654	Traveling	P22	EBIRD	120	0.805		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS515203522	2021-03-26 03:04:12.593349	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Gerald R. Ford Airport (s. Kraft Ave. access)	L888511	H	42.8763415	-85.5267137	2017-06-30	18:00:00	obsr19409	S37890772	Stationary	P21	EBIRD	17			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS512109421	2021-03-19 09:06:19.102151	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			52nd east of Kraft	L5956261	P	42.8695087	-85.5191231	2017-06-18	08:20:00	obsr612596	S37664174	Traveling	P22	EBIRD	25	0.805		1	1		0	1	0				
